Mass then Time (d),H1,H2,H3,He3,He4,He6,Li6,Li7,Li8,Be8,Be9,Be10,Be11,B10,B11,B12,C12,C13,C14,C15,N13,N14,N15,N16,N17,O16,O17,O18,O19,F18,F19,F20,Ne20
Masses,1.007825032,2.014101778,3.0160492779,3.01602932,4.002603254,6.151228874,6.015122887,7.0160034366,8.022486246,8.005305102,9.012183065,10.013534695,11.02166108,10.01293695,11.00930536,12.0269221,12.0,13.003354835,14.003241988,15.01059926,13.00573861,14.003074004,15.000108898,16.0061019,17.008449,15.994914619,16.999131756,17.999159612,19.003578,17.9991596129,18.998403162,19.999981252,19.992440176
DecayConts,0.0,0.0,1.7828336472e-09,0.0,0.0,0.858918439356,0.0,0.0,0.825175214952,1.15524530093e+16,0.0,1.46430058171e-14,0.0502280565623,0.0,0.0,34.3142168594,0.0,0.0,3.84330827245e-12,0.282917216555,0.00115872146533,0.0,0.0,0.0972155933464,0.166063052362,0.0,0.0,0.0,0.0257675531807,0.000105242352276,0.0,0.0624456919423,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,9.24460401958e+23,1.12555185435e+25,0.0,0.0,6.08998947272e+24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.43599578909e+25,0.0,0.0
0.7305,4.78407201039e+18,2.07002437009e+18,2.07949846979e+18,1.16998679836e+14,4.15203090336e+19,3.9941958166e+13,9.24462766669e+23,1.1255516737e+25,5989925489.89,0.0155291968449,6.08997757931e+24,6.92653172604e+13,3.2417566314,43592.387077,585657415431.0,2961206.04675,3.20661308256e+12,1.50033678521e+12,1.28887904933e+12,101667089.361,1418.30370166,5.20005101516e+12,2.93505237929e+19,3.56002047927e+14,12616841.6436,2.1839959044e+18,1.00166889194e+18,4.42620839803e+18,8.71538175299e+14,4.81050619896e+17,2.43599156661e+25,2.36870043326e+12,9.33333276994e+15
1.461,9.56814147778e+18,4.14004652818e+18,4.15876371338e+18,4.67976774223e+14,8.30405488055e+19,3.99418936167e+13,9.24465131666e+23,1.12555149335e+25,5989924533.5,0.0155291665224,6.08996568759e+24,1.38530499208e+14,12.9711238735,220709.513866,2.3426308096e+12,5922405.77966,1.28264477876e+13,6.00166789411e+12,5.15551199964e+12,203339608.918,5751.29710482,2.08001787959e+13,5.87009714529e+19,3.56001489793e+14,25234845.069,4.36834318233e+18,2.00333444137e+18,9.33283250252e+18,8.71536664801e+14,4.81677030132e+17,2.43598734489e+25,2.36869632804e+12,1.86690180651e+16
2.1915,1.43522084028e+19,6.21006647429e+18,6.23779575764e+18,1.0529073678e+15,1.2456071931e+20,3.99418290676e+13,9.24467496657e+23,1.12555131301e+25,5989923579.39,0.0155291362,6.0899537959e+24,2.07795545848e+14,29.1881119086,600861.315893,5.27092190433e+12,8883597.83143,2.88594884176e+13,1.35039875323e+13,1.15998925544e+13,305011864.745,12999.5146528,4.68003454451e+13,8.805134298e+19,3.56000931668e+14,37852806.3889,6.55268583119e+18,3.00499664832e+18,1.42400745309e+19,8.71535154345e+14,4.81677013294e+17,2.43598312318e+25,2.36869222291e+12,2.80046871809e+16
2.922,1.9136272786e+19,8.28008420845e+18,8.31659462947e+18,1.87176354832e+15,1.66080820546e+20,3.99417645186e+13,9.24469861641e+23,1.12555113266e+25,5989922627.54,0.0155291058776,6.08994190422e+24,2.77060457182e+14,51.8927302731,1253557.7116,9.37053242138e+12,11844782.2021,5.1305719275e+13,2.40072898789e+13,2.06220144172e+13,406683856.841,23162.9457226,8.32005130659e+13,1.17401638374e+20,3.56000373546e+14,50470725.6036,8.737023851e+18,4.00665551279e+18,1.9147308873e+19,8.71533643905e+14,4.81676179541e+17,2.43597890147e+25,2.3686881178e+12,3.73403401175e+16
3.6525,2.39203346281e+19,1.03500997307e+19,1.03951603558e+19,2.92451840663e+15,2.07600852516e+20,3.99416999698e+13,9.2447222662e+23,1.12555095232e+25,5989921677.96,0.0155290755553,6.08993001257e+24,3.46325233217e+14,81.0849885035,2248308.60235,1.46414640825e+13,14805958.8917,8.01651246622e+13,3.75115691132e+13,3.22218712915e+13,508355585.208,36241.5796915,1.30000643761e+14,1.46751857636e+20,3.55999815426e+14,63088602.713,1.09213572418e+19,5.00831103478e+18,2.4054534713e+19,8.71532133475e+14,4.81675344856e+17,2.43597467977e+25,2.36868401271e+12,4.66759768749e+16
4.383,2.87043939297e+19,1.2420113041e+19,1.24734929634e+19,4.21114503668e+15,2.49120815218e+20,3.99416354211e+13,9.24474591592e+23,1.12555077197e+25,5989920730.64,0.015529045233,6.08991812094e+24,4.15589873954e+14,116.764896136,3654623.8724,2.10837186096e+13,17767127.9002,1.15437688882e+14,5.40168194142e+13,4.63994568809e+13,610027049.845,52235.4059368,1.87200699635e+14,1.76102000766e+20,3.55999257307e+14,75706437.7173,1.31056860035e+19,6.00996321431e+18,2.89617520499e+19,8.7153062305e+14,4.81674510011e+17,2.43597045808e+25,2.36867990763e+12,5.6011597453e+16
5.1135,3.34884506913e+19,1.44901241394e+19,1.45515924792e+19,5.73161653553e+15,2.90640708653e+20,3.99415708725e+13,9.24476956559e+23,1.12555059162e+25,5989919785.57,0.0155290149108,6.08990622934e+24,4.848543794e+14,158.932462707,5542013.38895,2.86972977242e+13,20728289.2276,1.57123396237e+14,7.35230349611e+13,6.31547648888e+13,711698250.754,71144.4138355,2.54800642789e+14,2.05452067763e+20,3.55998699189e+14,88324230.6166,1.52900101362e+19,7.01161205138e+18,3.38689608837e+19,8.71529112629e+14,4.81673675185e+17,2.4359662364e+25,2.36867580256e+12,6.53472018519e+16
